"reg_no","title_front","name","surname","title_back","PIN","city"
13205,"JUDr. Ing.","Petr","Petrílek","Ph.D.",73821896,"Úvaly"
13352,"Mgr.","Petra","Krejèí","",71446516,"Úvaly"
2133,"JUDr.","Vìra","Rittichová","",66218411,"Ústí nad Orlicí"
3211,"JUDr.","Karel","Košta","",66217571,"Ústí nad Orlicí"
8286,"Mgr.","Jana","Adámková","",42222478,"Ústí nad Orlicí"
8362,"JUDr.","Jarmila","Cindrová","",13559354,"Ústí nad Orlicí"
9451,"Mgr.","Ondøej","Filip","",66252628,"Ústí nad Orlicí"
10006,"Mgr.","Ivo","Ïopan","",66256925,"Ústí nad Orlicí"
11027,"Mgr.","Ladislav","Jedlièka","",71458930,"Ústí nad Orlicí"
13932,"Mgr.","Martin","Blohoò","",73630608,"Ústí nad Orlicí"
15963,"Mgr.","Aneta","Novotná","",2408864,"Ústí nad Orlicí"
16075,"Mgr.","Martin","Maèka","",3660419,"Ústí nad Orlicí"
377,"JUDr.","Jiøí","Lukáš","",66202540,"Ústí nad Orlicí"
807,"JUDr.","Ladislav","Hostınek","",66204763,"Ústí nad Orlicí"
1575,"JUDr.","Josef","Filip","",66210771,"Ústí nad Orlicí"
1950,"JUDr.","Jiøí","Radoš","",66213789,"Ústí nad Orlicí"
2843,"JUDr.","Jaroslav","Mazanec","",66214602,"Ústí nad Orlicí"
1572,"JUDr.","Vladimír","Formánek","",44556101,"Ústí nad Labem"
1869,"JUDr.","Miloslava","Coufalová","",66219370,"Ústí nad Labem"
2379,"JUDr.","Lubomír","Hlavatı","",66215323,"Ústí nad Labem"
3389,"JUDr.","Svatopluk","Bunda","",66220904,"Ústí nad Labem"
3879,"JUDr.","Jiøí","Nedvìdickı","",66223857,"Ústí nad Labem"
4116,"Mgr.","Jan","Peroutka","",66225108,"Ústí nad Labem"
4675,"Mgr.","Petr","Saska","",66245761,"Ústí nad Labem"
7292,"JUDr.","Vilém","Peøina","",44552009,"Ústí nad Labem"
7979,"JUDr.","Josef","Rùièka","",66237122,"Ústí nad Labem"
8051,"JUDr.","Jiøí","Vecko","",15696146,"Ústí nad Labem"
8468,"JUDr. Ing.","Jiøí","Tauber","",66234506,"Ústí nad Labem"
8567,"JUDr.","Ilona","Tajchnerová","",60226234,"Ústí nad Labem"
8644,"JUDr.","Michal","Vejlupek","",66246041,"Ústí nad Labem"
8903,"JUDr.","Soòa","Rákosová","",66246733,"Ústí nad Labem"
8957,"Mgr.","František","Nesvadba","",66247063,"Ústí nad Labem"
9323,"Mgr.","Jakub","Kuèera","",66251559,"Ústí nad Labem"
9699,"Mgr.","Štìpánka","Olbrichtová","",66254736,"Ústí nad Labem"
9772,"Mgr.","Aleš","Dostál","",66255066,"Ústí nad Labem"
10611,"JUDr.","Zdenìk","Grus","",71332286,"Ústí nad Labem"
10621,"JUDr.","Filip","Štípek","",71332847,"Ústí nad Labem"
11098,"Mgr.","Petr","Musil","",68957629,"Ústí nad Labem"
11665,"Mgr.","Pavel","Hrtánek","",71465880,"Ústí nad Labem"
11812,"Mgr.","Petra","Jirásková Málková","",71465049,"Ústí nad Labem"
11924,"Mgr.","Jan","Chmelík","",71469222,"Ústí nad Labem"
12194,"Mgr.","Petr","Hromek","",68691297,"Ústí nad Labem"
12254,"Mgr.","Karel","Šemík","",71470263,"Ústí nad Labem"
12267,"Mgr.","Jan","Faltejsek","",71471308,"Ústí nad Labem"
12381,"Mgr.","Eva","Øeháèková Gruzovská","",71470697,"Ústí nad Labem"
12884,"Mgr.","Helena","Pániková","",71346023,"Ústí nad Labem"
13382,"Mgr.","Šárka","Harantová","",71446745,"Ústí nad Labem"
13658,"JUDr. Ing.","František","Helešic","DSc., MBA",64692043,"Ústí nad Labem"
13774,"Mgr.","Josef","Kopp","",73629367,"Ústí nad Labem"
13996,"Mgr.","Michaela","Tichá Madarová","",73611166,"Ústí nad Labem"
14020,"Mgr.","Šárka","Schneiderová","",73611361,"Ústí nad Labem"
14071,"Mgr.","Pavel","Kras","",73611808,"Ústí nad Labem"
14184,"Mgr.","Ondøej","Pojkar","",73612669,"Ústí nad Labem"
14246,"Mgr.","Gabriela","Šastná","",88116557,"Ústí nad Labem"
14286,"Mgr.","Patrik","Jizera","",73733989,"Ústí nad Labem"
14361,"Mgr.","Vlastimil","Tauber","",73734586,"Ústí nad Labem"
14586,"Mgr.","Taána","Koláøová","",1171089,"Ústí nad Labem"
14728,"Mgr.","Miroslava","Jandová","",1337807,"Ústí nad Labem"
14735,"Mgr. Bc.","Iva","Jónová","",72641754,"Ústí nad Labem"
14921,"Mgr.","Libìna","Dobrovolná","",1560972,"Ústí nad Labem"
15067,"JUDr.","Petr","Kunc","",1826875,"Ústí nad Labem"
16062,"Mgr.","Linda","Jeriová","",3659518,"Ústí nad Labem"
16149,"JUDr.","Jana","Bìlochová","",3821633,"Ústí nad Labem"
16478,"JUDr.","Václav","Cidlina","",4437292,"Ústí nad Labem"
16499,"Mgr.","Lukáš","Hendrych","",4437802,"Ústí nad Labem"
90351,"Mgr.","Marina","Bykova","",1266314,"Ústí nad Labem"
470,"JUDr.","Lubomír","Pánik","",66202035,"Ústí nad Labem"
281,"JUDr.","Miroslav","Koláènı","",66202027,"Ústí nad Labem"
679,"JUDr.","Jan","Thonat","",66202078,"Ústí nad Labem"
532,"JUDr.","Radka","Procházková","",66202043,"Ústí nad Labem"
148,"JUDr.","Jan","Hájek","",66202019,"Ústí nad Labem"
78,"JUDr.","Marta","Èiháková","",66202001,"Ústí nad Labem"
82,"JUDr.","Jiøí","Císaø","",66201985,"Ústí nad Labem"
692,"JUDr.","Richard","Tøeštík","",66202060,"Ústí nad Labem"
884,"JUDr.","Jaroslav","Hrnèíø","",10215689,"Ústí nad Labem"
1012,"JUDr.","Josef","Vondráèek","",44553111,"Ústí nad Labem"
1008,"JUDr.","Eva","Šámalová","",66206235,"Ústí nad Labem"
1010,"JUDr.","Josef","Tichı","",66206251,"Ústí nad Labem"
1094,"JUDr.","Miroslav","Bartoš","",10397442,"Ústí nad Labem"
5936,"JUDr.","Marie","Šírková","",66233178,"Ústí nad Labem"
1294,"JUDr.","Petr","Prágl","",66210135,"Ústí nad Labem"
6514,"JUDr.","Jana","Louková","",19017669,"Ústí nad Labem"
1481,"JUDr.","František","Gahler","",15696235,"Ústí nad Labem"
1545,"JUDr.","Lubomír","Bejdl","",66211123,"Ústí nad Labem"
1877,"JUDr.","Rostislav","Sochor","",44556811,"Ústí nad Labem"
