RegistryYear;RegistrySign;ProposalDate1;name1;surname;FirstName;IC
1993;1 ÚS 1/93;7.5.1992;;;;
1993;2 ÚS 1/93;14.5.1992;;;;
1993;3 ÚS 1/93;13.7.1992;;;;
1993;Pl ÚS 37/93;23.7.1992;;;;
1993;1 ÚS 2/93;23.7.1992;;;;
1993;2 ÚS 2/93;21.9.1992;;;;
1993;3 ÚS 2/93;1.10.1992;;;;
1993;1 ÚS 3/93;9.10.1992;;;;
1993;3 ÚS 3/93;15.10.1992;;;;
1993;2 ÚS 3/93;15.10.1992;;;;
1993;1 ÚS 4/93;22.10.1992;;;;
1993;Pl ÚS 1/93;29.10.1992;;;;
1993;2 ÚS 4/93;2.11.1992;;;;
1993;3 ÚS 4/93;20.11.1992;;;;
1993;1 ÚS 5/93;24.11.1992;;;;
1993;2 ÚS 5/93;27.11.1992;;;;
1993;3 ÚS 5/93;3.12.1992;;;;
1993;1 ÚS 6/93;3.12.1992;;;;
1993;2 ÚS 6/93;4.12.1992;;;;
1993;1 ÚS 7/93;7.12.1992;;;;
1993;3 ÚS 6/93;7.12.1992;;;;
1993;2 ÚS 7/93;10.12.1992;;;;
1993;3 ÚS 7/93;11.12.1992;;;;
1993;Pl ÚS 2/93;14.12.1992;;;;
1993;Pl ÚS 3/93;14.12.1992;;;;
1993;1 ÚS 8/93;15.12.1992;;;;
1993;2 ÚS 8/93;17.12.1992;;;;
1993;3 ÚS 8/93;18.12.1992;;;;
1993;1 ÚS 9/93;18.12.1992;;;;
1993;2 ÚS 9/93;21.12.1992;;;;
1993;3 ÚS 9/93;22.12.1992;;;;
1993;2 ÚS 10/93;23.12.1992;;;;
1993;1 ÚS 10/93;23.12.1992;;;;
1993;3 ÚS 10/93;28.12.1992;;;;
1993;Pl ÚS 4/93;28.12.1992;;;;
1993;1 ÚS 11/93;29.12.1992;;;;
1993;3 ÚS 11/93;29.12.1992;;;;
1993;2 ÚS 11/93;29.12.1992;;;;
1993;1 ÚS 12/93;30.12.1992;;;;
1993;2 ÚS 12/93;30.12.1992;;;;
1993;3 ÚS 12/93;8.1.1993;;;;
1993;1 ÚS 13/93;8.1.1993;;;;
1993;2 ÚS 13/93;14.1.1993;;;;
1993;3 ÚS 14/93;18.1.1993;;;;
1993;1 ÚS 14/93;18.1.1993;;;;
1993;3 ÚS 13/93;18.1.1993;;;;
1993;1 ÚS 15/93;19.1.1993;;;;
1993;1 ÚS 89/93;20.1.1993;;;;
1993;2 ÚS 15/93;26.1.1993;;;;
1993;3 ÚS 15/93;27.1.1993;;;;
1993;1 ÚS 16/93;1.2.1993;;;;
1993;2 ÚS 16/93;3.2.1993;;;;
1993;3 ÚS 16/93;4.2.1993;;;;
1993;1 ÚS 17/93;9.2.1993;;;;
1993;2 ÚS 17/93;22.2.1993;;;;
1993;3 ÚS 17/93;26.2.1993;;;;
1993;1 ÚS 18/93;5.3.1993;;;;
1993;2 ÚS 18/93;11.3.1993;;;;
1993;3 ÚS 18/93;11.3.1993;;;;
1993;1 ÚS 19/93;16.3.1993;;;;
1993;2 ÚS 19/93;19.3.1993;;;;
1993;3 ÚS 19/93;29.3.1993;;;;
1993;1 ÚS 20/93;1.4.1993;;;;
1993;2 ÚS 20/93;9.6.1993;;;;
1993;3 ÚS 20/93;11.6.1993;;;;
1993;1 ÚS 21/93;2.7.1993;;;;
1993;3 ÚS 21/93;9.7.1993;;;;
1993;2 ÚS 21/93;9.7.1993;;;;
1993;1 ÚS 22/93;12.7.1993;;;;
1993;2 ÚS 22/93;13.7.1993;;;;
1993;3 ÚS 22/93;14.7.1993;;;;
1993;2 ÚS 23/93;16.7.1993;;;;
